Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2-Sep-19,North Carolina,Greensboro,5528 W Market St,2,2,N/A
2-Sep-19,Alabama,Elkmont,25019 Ridge Road,5,0,N/A
2-Sep-19,Illinois,Chicago,6200 block of S King Dr,0,4,N/A
1-Sep-19,North Carolina,Rocky Mount,521 Country Club Road,0,4,N/A
1-Sep-19,Ohio,Toledo,3257 Stickney Ave,0,4,N/A
1-Sep-19,Alabama,Valley,502 Boulevard,0,7,N/A
1-Sep-19,Connecticut,Hartford,80 Edgewood St,0,4,N/A
31-Aug-19,Illinois,Chicago,7100 block of S Paulina St,2,3,N/A
31-Aug-19,Pennsylvania,Philadelphia,4600 block of 4th St,2,2,N/A
31-Aug-19,North Carolina,Charlotte,10035 Dabney Dr,1,3,N/A
31-Aug-19,South Carolina,Moncks Corner,336 Maplewood Rd,0,4,N/A
31-Aug-19,Texas,Odessa,8250 TX-191,8,23,N/A
31-Aug-19,Maryland,Baltimore,900 block of N Monroe St,0,4,N/A
31-Aug-19,Maryland,Frederick,600 block of N Market St,0,4,N/A
30-Aug-19,Maryland,Baltimore,1600 block of E 29th St,1,3,N/A
30-Aug-19,Alabama,Mobile,1621 Virginia St,0,6,N/A
29-Aug-19,Maryland,Baltimore,2500 block of E Monument St,1,3,N/A
25-Aug-19,Illinois,Chicago,8200 block of S Maryland Ave,1,3,N/A
25-Aug-19,New Mexico,Hobbs,1700 block of East Bond St,3,4,N/A
24-Aug-19,Massachusetts,Lynn,Warren Street,1,3,N/A
24-Aug-19,Maryland,Temple Hills (Camp Springs),6200 block of Maxwell Dr,0,7,N/A
23-Aug-19,Texas,Houston,4900 block of Southwind St,3,2,N/A
23-Aug-19,Georgia,Dublin,200 Riverview Park Dr,0,4,N/A
23-Aug-19,Missouri,Saint Louis,1122 Union Blvd,1,3,N/A
22-Aug-19,South Carolina,Columbia,851 Bush River Rd,2,2,N/A
22-Aug-19,California,Los Angeles,300 block of West Fifth St,0,4,N/A
20-Aug-19,Georgia,Atlanta,111 James P Brawley Dr SW,0,4,N/A
18-Aug-19,Missouri,Kansas City,770 W 47th St,0,4,N/A
17-Aug-19,Texas,Houston,12500 block of Mylla St,0,6,N/A
15-Aug-19,Pennsylvania,Philadelphia,5800 block of N 15th St,0,5,N/A
15-Aug-19,Alabama,Montgomery,847 N University Dr,2,3,N/A
14-Aug-19,Pennsylvania,Philadelphia,3716 N 15th St,0,6,N/A
13-Aug-19,Washington,Tacoma,E 38th St and E Roosevelt Ave,2,3,N/A
12-Aug-19,Mississippi,Greenwood,200 Young St,0,4,N/A
11-Aug-19,Illinois,Chicago,3500 block of W Lake St,0,6,N/A
10-Aug-19,Virginia,Richmond,6346 Midlothian Turnpike,0,4,N/A
10-Aug-19,California,San Francisco,1100 Fillmore St,0,4,N/A
9-Aug-19,Illinois,Chicago,7300 block of S Artesian Ave,0,4,N/A
7-Aug-19,Missouri,Saint Louis,4900 block of Plover Ave,2,2,N/A
5-Aug-19,New York,Brooklyn,216 Buffalo Ave,0,4,N/A
4-Aug-19,Illinois,Chicago,1800 S Kildare Ave,1,7,N/A
4-Aug-19,Tennessee,Memphis,443 E Shelby Dr,1,3,N/A
4-Aug-19,Ohio,Dayton,419 E 5th St,10,17,N/A
4-Aug-19,Illinois,Chicago,2900 block of W Roosevelt Rd,0,7,N/A
3-Aug-19,Texas,El Paso,7101 Gateway Blvd,22,24,N/A
2-Aug-19,Virginia,Suffolk,200 block of N Broad St,2,3,N/A
30-Jul-19,Ohio,Columbus,1280 E Long St,0,5,N/A
28-Jul-19,California,Gilroy,7050 Miller Ave,4,17,N/A
28-Jul-19,Pennsylvania,Philadelphia,2600 block of Carroll St,1,5,N/A
28-Jul-19,Wisconsin,Chippewa Falls (Lafayette),16964 54th Ave,6,2,N/A
28-Jul-19,District of Columbia,Washington,637 T St NW,0,4,N/A
28-Jul-19,Illinois,Chicago,3938 W Roosevelt Rd,0,4,N/A
27-Jul-19,Kansas,Wichita,505 N Rock Rd,1,3,N/A
27-Jul-19,New York,Brooklyn,1555 Linden Blvd,1,11,N/A
26-Jul-19,Washington,Kennewick,E 10th Ave,1,3,N/A
25-Jul-19,California,Canoga Park,21901 Roscoe Boulevard,4,2,N/A
21-Jul-19,Illinois,Chicago,3900 block of Roosevelt Rd,0,4,N/A
21-Jul-19,District of Columbia,Washington,2300 block of 15th St NE,0,4,N/A
20-Jul-19,Pennsylvania,Clairton,501 Waddell Ave,0,4,N/A
20-Jul-19,Maryland,Baltimore,2800 block of Boarman Ave,1,3,N/A
20-Jul-19,Illinois,Chicago,2401 N Lake Shore Dr,0,7,N/A
18-Jul-19,Illinois,Chicago,3427 W Fulton Blvd,1,3,N/A
17-Jul-19,Texas,Lubbock,N Elder Ave and E Colgate St,1,3,N/A
16-Jul-19,Texas,San Antonio,6989 San Pedro Ave,0,4,N/A
15-Jul-19,Georgia,Atlanta,1572 Hardee St NE,0,4,N/A
14-Jul-19,Illinois,Chicago,4600 block of W Erie St,0,4,N/A
13-Jul-19,Illinois,Chicago,7900 block of S Loomis Blvd,1,4,N/A
13-Jul-19,Pennsylvania,Philadelphia,5433 Lansdowne Ave,0,7,N/A
11-Jul-19,Texas,Houston,5901 Royal Palms St,0,4,N/A
8-Jul-19,District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,2,2,N/A
7-Jul-19,Michigan,Flint,Clio Rd and Myrtle St,0,6,N/A
7-Jul-19,Missouri,Saint Louis,N Tucker Blvd and Convention Plaza,0,5,N/A
7-Jul-19,Illinois,Chicago,5600 block of S Paulina St,0,4,N/A
7-Jul-19,Illinois,Chicago,600 block of W 61st Pl,0,4,N/A
7-Jul-19,New Mexico,Albuquerque,211 Gold Ave SW,0,4,N/A
6-Jul-19,California,San Jose,3036 Quinto Way,0,4,N/A
6-Jul-19,Missouri,Saint Louis,1921 Chambers Rd,5,0,N/A
5-Jul-19,Massachusetts,Boston,Maple St,0,6,N/A
5-Jul-19,Illinois,Chicago,1600 block of E 67th St,0,5,N/A
5-Jul-19,Nevada,Reno,600 block of Spokane St,1,3,N/A
5-Jul-19,New York,Brooklyn,Elton St and Belmont Ave,0,4,N/A
4-Jul-19,Illinois,Rockford,1100 block of Preston St,0,4,N/A
4-Jul-19,Illinois,Chicago,800 block of N Homan Ave,1,3,N/A
4-Jul-19,California,Los Angeles,1900 block of Adair St,0,4,N/A
4-Jul-19,California,Fresno,4700 block of E Hamilton Ave,1,3,N/A
3-Jul-19,Texas,Katy,5507 Everhart Manor Ln,2,3,N/A
2-Jul-19,Missouri,Saint Louis (Wellston),6250 Page Ave,0,4,N/A
1-Jul-19,Maryland,Baltimore,1200 block of N Luzerne Ave,0,4,N/A
30-Jun-19,California,Oakland,3000 block of Brookdale Ave,0,4,N/A
30-Jun-19,California,Yucaipa,12700 block of California St,0,5,N/A
30-Jun-19,Texas,Dallas,3535 Munger Ave,2,2,N/A
30-Jun-19,New York,Bay Shore,Farragut Ave,0,6,N/A
29-Jun-19,Connecticut,Hartford,Judson St and Martin St,0,4,N/A
29-Jun-19,Louisiana,Gray,2700 block of W Park Ave,0,4,N/A
29-Jun-19,Illinois,Chicago,2400 block of W Jackson Blvd,0,5,N/A
29-Jun-19,Louisiana,Baton Rouge,7132 Florida Blvd,0,7,N/A
28-Jun-19,New Jersey,Paterson,50 block of Jefferson St,0,4,N/A
28-Jun-19,Connecticut,Hamden,937 Choate Ave,0,5,N/A
28-Jun-19,Georgia,Atlanta,Ira St and Bass St SW,0,7,N/A
28-Jun-19,New Jersey,Jersey City,167 Armstrong Ave,0,4,N/A
28-Jun-19,Minnesota,Saint Paul,909 Desoto St,0,5,N/A
27-Jun-19,Georgia,Atlanta,600 block of Parkway Dr,0,7,N/A
26-Jun-19,Ohio,Akron,900 block of Rowe St,1,3,N/A
26-Jun-19,Wisconsin,Milwaukee,2800 block of N 34th St,0,4,N/A
23-Jun-19,California,San Jose,568 Habbitts Court,5,0,N/A
23-Jun-19,Indiana,South Bend,1150 E Mishawaka Ave,1,10,N/A
23-Jun-19,Ohio,Columbus,1767 Genessee Ave,0,5,N/A
23-Jun-19,California,La Jolla,7500 block of Draper Ave,1,3,N/A
23-Jun-19,South Carolina,Abbeville,1108 Cambridge St,3,1,N/A
22-Jun-19,Virginia,Hampton,1st St and E Pembroke Ave,0,4,N/A
22-Jun-19,Pennsylvania,Philadelphia,2400 block of Moore St,0,4,N/A
22-Jun-19,Maryland,Baltimore,800 block of N Port St,1,4,N/A
21-Jun-19,Michigan,Saginaw,1506 N Charles St,1,3,N/A
21-Jun-19,Illinois,Chicago,6300 block of S King Dr,0,4,N/A
21-Jun-19,California,Santa Maria,519  West Taylor St,5,0,N/A
21-Jun-19,California,Richmond,700 block of 14th St,0,5,N/A
20-Jun-19,Pennsylvania,Allentown,343 Hamilton St,0,10,N/A
18-Jun-19,New Jersey,Newark,700 block of Dr Martin Luther King Jr Blvd,1,4,N/A
17-Jun-19,Texas,San Antonio,E Market St and Tower of the Americas Way,0,4,N/A
17-Jun-19,Tennessee,Memphis,2872 Coach Dr,0,5,N/A
16-Jun-19,Pennsylvania,Philadelphia,2910 S 70th St,1,5,N/A
16-Jun-19,Kentucky,Louisville,Dixie Highway and Ormsby Ave,1,6,N/A
16-Jun-19,Iowa,Des Moines,1200 block of Sampson St,0,6,N/A
15-Jun-19,Louisiana,Shreveport,2500 block of Hollywood Ave,0,4,N/A
12-Jun-19,North Carolina,Charlotte,305 N Graham St,1,3,N/A
11-Jun-19,Colorado,Aurora,12500 block of E Kansas Pl,0,4,N/A
11-Jun-19,Georgia,Savannah,6900 Block of Damascus Rd,2,2,N/A
9-Jun-19,Ohio,Cleveland,17218 Tarkington Ave,1,3,N/A
9-Jun-19,New York,Buffalo,2081 Niagara St,0,4,N/A
9-Jun-19,Tennessee,Henning,265 N Main St,1,3,N/A
8-Jun-19,Washington,White Swan,5151 Medicine Valley Rd,5,2,N/A
8-Jun-19,Illinois,Chicago,3500 block of W North Ave,0,4,N/A
7-Jun-19,Texas,Austin,8220 TX-71,0,5,N/A
6-Jun-19,Illinois,Chicago,2500 block of N Lake Shore Dr,1,3,N/A
5-Jun-19,California,Santa Rosa,828 W 9th Street,0,4,N/A
1-Jun-19,South Carolina,Allendale,473 Main St S,0,5,N/A
1-Jun-19,Illinois,Chicago,300 block of East Chicago Ave,0,4,N/A
1-Jun-19,Virginia,Portsmouth,1100 block of Mt Vernon Ave,1,3,N/A
1-Jun-19,Illinois,Chicago,5600 block of West Madison St,0,4,N/A
1-Jun-19,Georgia,Atlanta,12 Broad Street,0,5,N/A
1-Jun-19,Georgia,Macon,Suzanne Dr and Robinson Dr,2,4,N/A
31-May-19,California,West Covina,306 N Hollow Ave,1,3,N/A
31-May-19,Virginia,Virginia Beach,2405 Courthouse Drive,13,4,N/A
30-May-19,Illinois,Robbins,14000 block of Grace Ave,0,5,N/A
29-May-19,Texas,Cleveland,26311 TX-321,3,2,N/A
29-May-19,Louisiana,Reserve,300 block of Homewood Place,1,3,N/A
27-May-19,Missouri,Saint Louis,5900 block of Goodfellow Blvd,2,2,N/A
27-May-19,District of Columbia,Washington,1200 block of Sumner Rd SE,0,5,N/A
27-May-19,New Jersey,Trenton,100 block of Walnut St,1,5,N/A
26-May-19,District of Columbia,Washington,3509 Wheeler Rd SE,1,3,N/A
26-May-19,Virginia,La Crosse,800 block of Alvis Road,0,5,N/A
26-May-19,California,Stockton,600 block of E Oak St,1,3,N/A
25-May-19,New Jersey,Trenton,225 Brunswick Ave,0,9,N/A
25-May-19,Michigan,Detroit,3400 block of Devonshire,3,2,N/A
25-May-19,Virginia,Chesapeake,Holly Cove Dr and Schooner Trail,1,9,N/A
25-May-19,Maryland,Baltimore,500 block of N Belnord Ave,0,4,N/A
25-May-19,Oklahoma,Oklahoma City,N Kelley Ave and NE 26th St,0,5,N/A
20-May-19,Oklahoma,Tulsa,8118 E 16th St,2,2,N/A
20-May-19,Louisiana,Alexandria,1900 block of Bacon Street,1,4,N/A
20-May-19,Ohio,Columbus,2424 Sullivant Ave,0,4,N/A
19-May-19,Oregon,Portland,226 SE Madison St,0,5,N/A
18-May-19,Mississippi,Cascilla,700 Leverette Ln,1,4,N/A
18-May-19,Alabama,Atmore,100 Martin Luther King Avenue,1,8,N/A
18-May-19,Indiana,Muncie,2410 W. Euclid Ave,1,6,N/A
18-May-19,California,Long Beach,1616 West Pacific Coast Highway,1,4,N/A
18-May-19,Iowa,Cedar Rapids,70 Kirkwood Ct SW,2,2,N/A
18-May-19,Nebraska,Omaha,2825 Y St,0,4,N/A
18-May-19,North Carolina,Winston Salem (Winston-salem),4252 Cody Drive,2,4,N/A
17-May-19,California,Sacramento,7326 Stockton Blvd,1,3,N/A
16-May-19,Ohio,Cleveland,9500 Cardwell Ave,0,4,N/A
15-May-19,Louisiana,Saint Rose,100 block of St. Rose Ave,0,4,N/A
14-May-19,California,Los Angeles,1248 W 47th St,0,4,N/A
13-May-19,Louisiana,New Orleans,2100 block of 4th St,0,4,N/A
13-May-19,Missouri,Saint Louis,4047 Shreve Ave,4,1,N/A
11-May-19,Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4,N/A
10-May-19,Pennsylvania,Philadelphia,1900 block of N Croskey St,0,5,N/A
10-May-19,Missouri,Saint Louis,4000 block of Ashland Ave,0,6,N/A
8-May-19,Indiana,Indianapolis,Roache St and Rader St,0,4,N/A
7-May-19,Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,N/A
5-May-19,New Jersey,North Bergen,2033 45th Street,1,4,N/A
5-May-19,California,Oceano,1001 Cabrillo Hwy,0,6,N/A
4-May-19,Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,N/A
4-May-19,Indiana,Indianapolis,101 W Maryland St,0,4,N/A
4-May-19,California,Stockton,5105 Holiday Dr,1,4,N/A
4-May-19,Delaware,Wilmington,W 27th St and Tatnall St,0,4,N/A
3-May-19,Texas,Dallas,5400 Cedar Springs Rd,1,3,N/A
3-May-19,Maryland,Baltimore,1900 block of Ramsay St,0,5,N/A
3-May-19,Maryland,Baltimore,2500 block of E Biddle St,0,4,N/A
1-May-19,Massachusetts,Boston,32 Windermere Rd,1,3,N/A
30-Apr-19,North Carolina,Charlotte,9214 South Library Ln,2,4,N/A
28-Apr-19,Tennessee,Nashville,1407 Dr DB Todd Jr Blvd,0,7,N/A
28-Apr-19,Alabama,Birmingham,514 19th St Ensley,0,4,N/A
28-Apr-19,Maryland,Baltimore,2544 Edmondson Ave,1,7,N/A
28-Apr-19,Ohio,West Chester,4637 Wyndtree Dr,4,0,N/A
27-Apr-19,Mississippi,Jackson,700 block of Monterey St,1,3,N/A
27-Apr-19,California,Poway,16934 Chabad Way,1,3,N/A
27-Apr-19,California,Los Angeles,700 N San Fernando Rd,0,6,N/A
21-Apr-19,Pennsylvania,Philadelphia,1500 block of South 31st St,0,4,N/A
20-Apr-19,Tennessee,Memphis,761 Chestnut Ave,0,5,N/A
20-Apr-19,Texas,Corpus Christi,2900 block of Sunrise Ave,0,4,N/A
19-Apr-19,Kansas,Wichita,1628 S George Washington Blvd,0,4,N/A
18-Apr-19,Kentucky,Louisville,4000 block of Bells Ln,0,4,N/A
16-Apr-19,Maryland,Germantown,18700 block of Curry Powder Ln,1,3,N/A
14-Apr-19,California,Stockton,2539 E Main St,0,4,N/A
14-Apr-19,Florida,Miami,NW 19th Ave and 60th St,2,2,N/A
14-Apr-19,California,Vallejo,100 block of Princeton Ave,1,3,N/A
13-Apr-19,California,Moreno Valley,23500 block of Alessandro Blvd,0,4,N/A
12-Apr-19,Illinois,Carbondale,119 N Washington St,0,4,N/A
11-Apr-19,Maryland,Baltimore,2200 block of Ruskin Ave,1,3,N/A
11-Apr-19,Arizona,Phoenix,7112 W Minnezona Ave,3,2,N/A
11-Apr-19,California,Los Angeles,E 103rd St and S Main St,1,4,N/A
9-Apr-19,Missouri,Kansas City,5339 Michigan Ave,1,3,N/A
7-Apr-19,Indiana,Indianapolis,3600 block of Roosevelt Ave,2,2,N/A
7-Apr-19,North Carolina,Winston Salem (Winston-salem),515 N Cherry St,0,7,N/A
7-Apr-19,Delaware,Wilmington,940 N Pine St,0,6,N/A
7-Apr-19,Louisiana,Shreveport,433 Flournoy Lucas Rd,0,4,N/A
6-Apr-19,Florida,Tallahassee,500 block of Kissimmee St,0,4,N/A
6-Apr-19,Illinois,Chicago,6300 block of S Seeley Ave,0,6,N/A
4-Apr-19,Florida,Panama City,100 block of Allen Ave,1,3,N/A
4-Apr-19,Georgia,Stockbridge,300 block of Eagle Ct,3,2,N/A
2-Apr-19,Mississippi,Hermanville,13195 MS 18,0,4,N/A
2-Apr-19,Kentucky,Covington,300 block of 13th St,0,5,N/A
31-Mar-19,Illinois,Chicago,500 block of N Hamlin Ave,1,4,N/A
31-Mar-19,Georgia,Atlanta,3041 Landrum Dr SW,1,4,N/A
31-Mar-19,South Carolina,North Charleston,1900 block of Jacksonville Rd,0,7,N/A
28-Mar-19,Maryland,Baltimore,6200 block of Boston St,0,4,N/A
25-Mar-19,Nevada,North Las Vegas,2400 block of W San Miguel St,0,5,N/A
24-Mar-19,California,San Francisco,1300 Fillmore St,1,5,N/A
24-Mar-19,Arizona,Phoenix,2202 W McDowell Rd,0,7,N/A
19-Mar-19,Arizona,Phoenix,8526 N 27th Ave,2,4,N/A
17-Mar-19,Georgia,Augusta,900 block of Broad St,0,4,N/A
17-Mar-19,Georgia,Rochelle,Dennis St,1,3,N/A
17-Mar-19,Nevada,Las Vegas,600 E Fremont St,0,4,N/A
16-Mar-19,New Jersey,Camden,619 Ferry Ave,1,3,N/A
15-Mar-19,Alabama,Mobile,515 Dauphin Island Pkwy,2,4,N/A
14-Mar-19,Montana,Missoula,5145 Airway Blvd,1,3,N/A
11-Mar-19,New Jersey,Paterson,291 12th Ave,0,4,N/A
10-Mar-19,Louisiana,Shreveport,2700 block of San Jacinto Ave,0,4,N/A
10-Mar-19,Colorado,Denver,15th St and Market St,1,4,N/A
3-Mar-19,California,Oakland,316 14th St,0,4,N/A
3-Mar-19,Illinois,Chicago,2900 block of E 79th St,0,6,N/A
2-Mar-19,Arkansas,Pine Bluff,723 East 25th Ave,1,4,N/A
28-Feb-19,California,Oakland,9755 Edes Ave,1,3,N/A
22-Feb-19,Alabama,Birmingham,1100 block of Carnation Dr,2,2,N/A
21-Feb-19,Maryland,Baltimore,500 block of Bloom St,1,4,N/A
21-Feb-19,Kentucky,Elizabethtown,600 N Miles St,2,2,N/A
21-Feb-19,Texas,Houston,12800 block of Eastbrook Dr,2,2,N/A
20-Feb-19,Tennessee,Covington,529 N College St,0,4,N/A
17-Feb-19,Texas,Henderson,504 S Van Buren St,2,2,N/A
17-Feb-19,Indiana,Evansville,664 E Illinois St,0,5,N/A
17-Feb-19,Louisiana,New Orleans,Tulane Ave and Elk Pl,1,5,N/A
16-Feb-19,Mississippi,Clinton,1214 Foxhill Dr,5,0,N/A
15-Feb-19,Illinois,Aurora,641 Archer Ave,6,6,N/A
11-Feb-19,Texas,Livingston,3628 FM 3126,5,0,N/A
9-Feb-19,Virginia,Petersburg,109 Perry St,0,4,N/A
6-Feb-19,New York,Brooklyn,1778 Fulton St,1,3,N/A
5-Feb-19,Texas,San Antonio,538 Hot Wells Blvd,2,2,N/A
4-Feb-19,District of Columbia,Washington,2341 Pennsylvania Ave SE,0,5,N/A
4-Feb-19,Louisiana,Baton Rouge,4000 block of Topeka St,0,4,N/A
3-Feb-19,California,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4,0,N/A
3-Feb-19,Illinois,Chicago,938 E 75th St,2,5,N/A
1-Feb-19,California,San Diego,6800 block of Springfield St,0,4,N/A
28-Jan-19,Texas,Houston,7815 Harding St,2,5,N/A
27-Jan-19,Alabama,Birmingham,Avenue O and Warrior Rd,0,5,N/A
26-Jan-19,Georgia,Albany,300 block of W Roosevelt,0,4,N/A
26-Jan-19,Indiana,Indianapolis,2957 N Sherman Dr,0,5,N/A
26-Jan-19,New Jersey,Newark,612 Bergen St,1,3,N/A
26-Jan-19,Louisiana,Gonzales,42350 Church Point Rd,5,0,N/A
24-Jan-19,Pennsylvania,State College,1450 S Atherton St,4,1,N/A
24-Jan-19,Georgia,Rockmart,319 Williamson St,4,1,N/A
23-Jan-19,Florida,Sebring,1901 US 27 S,5,0,N/A
20-Jan-19,Florida,Miami,26133 SW 139th Ave,0,4,N/A
19-Jan-19,Pennsylvania,Lebanon,1140 Church St,0,4,N/A
19-Jan-19,Texas,Houston,7041 Sherman St,3,2,N/A
19-Jan-19,South Carolina,Gaffney,1435 Wilcox Ave,1,4,N/A
19-Jan-19,Illinois,Chicago,4400 block of W Madison St,0,4,N/A
19-Jan-19,Florida,Jacksonville,11445 Brian Lakes Drive,3,2,N/A
17-Jan-19,Kentucky,Owensboro,940 Audubon Ave,3,1,N/A
16-Jan-19,Florida,Jacksonville,Emerson St and Spring Park Rd,1,5,N/A
16-Jan-19,California,Palmdale,Ranch Center Dr and 40th St W,3,1,N/A
15-Jan-19,Arkansas,Little Rock,5420 Baseline Rd,1,4,N/A
13-Jan-19,Arizona,Phoenix,2445 E Van Buren St,1,5,N/A
6-Jan-19,New Mexico,Roswell,1300 block of W College Blvd,0,4,N/A
4-Jan-19,Virginia,Hurt,3197 Shula Dr,3,2,N/A
4-Jan-19,California,Torrance,22501 Hawthorne Blvd,3,4,N/A
3-Jan-19,Arizona,Yuma,3800 block of E. County 18Â½ St,1,3,N/A
2-Jan-19,Arkansas,Jonesboro,3516 Galaxy St,1,3,N/A
1-Jan-19,South Carolina,Columbia,1709 Decker Blvd,0,5,N/A
1-Jan-19,Florida,Tallahassee,2020 W Pensacola St,0,5,N/A
