Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured,TotalVictim
60326,21-Jan-17,Florida,Boynton Beach,500 NE 2nd St,0,5,5
60328,20-Jan-17,Mississippi,Como,Smart Road,1,4,5
60331,16-Jan-17,Florida,Miami,6011 NW 32nd Ave,0,8,8
60333,15-Jan-17,Mississippi,Magnolia,6000 block of Church Road,1,4,5
60334,12-Jan-17,Missouri,Kansas City,8607 E 61st Terrace,3,2,5
60340,6-Jan-17,Florida,Fort Lauderdale,100 Terminal Dr,5,6,11
60343,1-Jan-17,Mississippi,Winstonville,114 North Greyer Street,0,5,5
60345,1-Jan-17,Florida,Miami,8000 block of NW 14th Ave,0,7,7
70000,31-Dec-18,Ohio,Cleveland,4462 Denison Ave,3,2,5
70002,28-Dec-18,Missouri,Saint Charles,150 Whetstone Dr,4,1,5
70004,23-Dec-18,Missouri,Springfield,1042 W College St,1,6,7
70006,18-Dec-18,Maryland,Baltimore,3942 Park Heights Ave,0,5,5
70007,15-Dec-18,Florida,Miami,239 NW 16th St,0,5,5
70012,8-Dec-18,California,Inglewood,801 S Inglewood Ave,0,5,5
70013,8-Dec-18,New York,Corona (Queens),89-25 130th St,0,5,5
70014,1-Dec-18,Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,5
70019,23-Nov-18,Florida,Miami,5801 NW 27th Ave,2,5,7
70020,22-Nov-18,Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,5
70022,19-Nov-18,Colorado,Denver,1200 21st Street,1,4,5
70024,18-Nov-18,California,Los Angeles (Watts),95th St and Defiance Ave,1,4,5
70027,13-Nov-18,New Mexico,Gallup,CR 1 and Defiance Draw Rd,4,1,5
70030,7-Nov-18,California,Thousand Oaks,99 Rolling Oaks Dr,13,2,15
70031,3-Nov-18,New York,Watertown,136 Franklin St,0,5,5
70033,2-Nov-18,Florida,Tallahassee,1950 Thomasville Rd,3,4,7
70034,1-Nov-18,Minnesota,Minneapolis,3400 block of Girard Ave N,0,5,5
70035,1-Nov-18,Missouri,Springfield,906 E Locust St,3,2,5
70037,30-Oct-18,California,Vallejo,Woodrow Ave and Reis Ave,2,3,5
70038,30-Oct-18,California,Los Angeles,65th Place and Vermont Avenue,0,5,5
70039,29-Oct-18,California,Riverside,3252 Mission Inn Ave,0,7,7
70041,27-Oct-18,Tennessee,Memphis,4275 Lady Slipper Ln,0,5,5
70042,27-Oct-18,Pennsylvania,Pittsburgh,5898 Wilkins Ave,11,7,18
70044,24-Oct-18,Illinois,Chicago,6200 block of S King Dr,0,5,5
70045,22-Oct-18,Illinois,Chicago,9231 S Cottage Grove Av,0,6,6
70046,21-Oct-18,Florida,Jacksonville,900 block of A Philip Randolph Blvd,1,5,6
70049,15-Oct-18,Tennessee,Columbia,1075 Carters Creek Pike,5,0,5
70053,13-Oct-18,Texas,Taft,511 Wilburn St,4,1,5
70055,12-Oct-18,South Carolina,Spartanburg,1620 John B White Sr Blvd,0,6,6
70060,6-Oct-18,California,Oakland,Williams St and Telegraph Ave,0,6,6
70063,3-Oct-18,South Carolina,Florence,932 Ashton Dr,2,6,8
70064,3-Oct-18,Pennsylvania,Philadelphia,5101 Germantown Ave,1,4,5
70067,29-Sep-18,Florida,Orlando,1700 block of 24th St,1,4,5
70069,24-Sep-18,Tennessee,Memphis,1528 Ragan St,3,2,5
70070,23-Sep-18,California,Bakersfield,2600 block of Chandler Court,1,4,5
70074,20-Sep-18,Maryland,Aberdeen,1501 Perryman Rd,4,3,7
70075,20-Sep-18,New York,Syracuse,1317 Midland Ave,0,5,5
70076,19-Sep-18,Wisconsin,Middleton,1850 Deming Way,1,4,5
70077,19-Sep-18,Pennsylvania,Masontown,1 E Church St,1,4,5
70081,17-Sep-18,Maryland,Silver Spring,123 Amberleigh Dr,4,1,5
70083,12-Sep-18,California,Bakersfield,660 Manwell Blvd,6,0,6
70085,10-Sep-18,Tennessee,Memphis,140 Lt George W Lee Ave,0,5,5
70086,9-Sep-18,Alabama,Auburn,224 W Magnolia St,1,4,5
70090,6-Sep-18,Ohio,Cincinnati,511 Walnut St,4,2,6
70094,2-Sep-18,Alabama,Birmingham,500 23rd St S,0,7,7
70096,2-Sep-18,California,San Bernardino,1277 East Lynwood Drive,0,8,8
70099,1-Sep-18,Ohio,Cleveland,3232 Lakeside Ave East,1,7,8
70100,31-Aug-18,Colorado,Aurora,1900 block of Peoria St,2,3,5
70102,26-Aug-18,Texas,Wichita Falls,2400 Sheppard Access Rd,1,4,5
70103,26-Aug-18,Florida,Jacksonville,2 Independent Dr,3,9,12
70104,25-Aug-18,Virginia,Richmond,4 N 18th St,0,5,5
70105,25-Aug-18,Tennessee,Nashville,1564 9th Ave N,1,4,5
70110,20-Aug-18,Tennessee,Jackson,60 Heritage Square,1,4,5
70112,19-Aug-18,Illinois,Chicago,7400 block of S Dante Ave,0,5,5
70114,17-Aug-18,Illinois,Chicago,1600 block of W 65th St,0,7,7
70115,15-Aug-18,South Carolina,Greenwood,104 Mimosa Ct,0,5,5
70116,14-Aug-18,Pennsylvania,Wyncote,1000 S Easton Rd,0,5,5
70117,12-Aug-18,California,Clearlake,4786 Yarrington Ct,4,1,5
70120,11-Aug-18,California,San Francisco,Geneva St and Mission St,1,4,5
70125,8-Aug-18,Pennsylvania,Philadelphia,North 12th Street and West Huntingdon Street,2,4,6
70126,5-Aug-18,Illinois,Chicago,1300 block of S Millard Ave,1,5,6
70127,5-Aug-18,Illinois,Chicago,1300 block of W 76th St,0,8,8
70128,5-Aug-18,Illinois,Chicago,1 block of N Leclaire Ave,1,4,5
70131,4-Aug-18,Nevada,Las Vegas,3400 block of Coran Ln,0,6,6
70132,4-Aug-18,Missouri,Kansas City,E 18th St and Highland Ave,0,6,6
70135,31-Jul-18,California,Gardena,1212 West 135th Street,2,3,5
70139,29-Jul-18,Arizona,Phoenix,2501 E Van Buren St,1,4,5
70141,28-Jul-18,Louisiana,New Orleans,3400 S Claiborne Ave,3,7,10
70142,28-Jul-18,California,Los Angeles,8801 S Vermont Ave,2,4,6
70143,27-Jul-18,Texas,Robstown,603 East Ave J,5,0,5
70145,26-Jul-18,Ohio,Cleveland,18416 St Clair Ave,1,6,7
70147,26-Jul-18,Texas,Dallas,3019 South Blvd,0,6,6
70149,23-Jul-18,Illinois,Chicago,6400 block of S May St,0,5,5
70151,21-Jul-18,Illinois,Chicago,3100 block of W Fulton St,2,5,7
70152,20-Jul-18,Washington,Sunnyside,500 block of S 15th St,1,4,5
70155,16-Jul-18,District of Columbia,Washington,300 block of 53rd St NE,1,4,5
70156,16-Jul-18,Florida,Palm Beach Gardens (Riviera Beach),2100 block of W 28th St,2,4,6
70157,16-Jul-18,Pennsylvania,Philadelphia,2100 block of N 4th St,1,4,5
70159,15-Jul-18,Tennessee,Chattanooga,1400 Cowart St,0,5,5
70162,12-Jul-18,Tennessee,Memphis,3678 Powers Rd,0,5,5
70165,9-Jul-18,Delaware,Wilmington,2709 Ferris Rd,5,0,5
70166,9-Jul-18,Florida,Orlando,Southland Blvd and Orange Blossom Trail,1,4,5
70167,8-Jul-18,Alabama,Brandon,565 US-80,0,6,6
70169,7-Jul-18,Alabama,Wetumpka,135 Granite Way,3,2,5
70172,5-Jul-18,California,Los Angeles,1600 block of W. 2nd Street,3,3,6
70173,5-Jul-18,Virginia,Virginia Beach,1800 block of Atlantic Ave,0,6,6
70174,5-Jul-18,Ohio,Lima,1440 Bellefontaine Ave,1,5,6
70176,3-Jul-18,Missouri,Saint Louis,1700 block of Billups Ave,1,5,6
70179,1-Jul-18,Illinois,Chicago,3400 block of W Walnut Ave,0,6,6
70180,30-Jun-18,Georgia,Ashburn,800 Block of W. Washington,1,6,7
70181,30-Jun-18,Maryland,Baltimore,4000 block of Penhurst Ave,0,6,6
70182,30-Jun-18,New Jersey,Jersey City,Lexington Ave and John F Kennedy Blvd,0,5,5
70183,28-Jun-18,Maryland,Annapolis,888 Bestgate Rd,5,0,5
70187,25-Jun-18,Illinois,Chicago,3900 block of S Vincennes Ave,0,6,6
70188,24-Jun-18,North Carolina,Sanford,109 S Steele St,1,6,7
70193,24-Jun-18,Ohio,Sandusky,1504 Milan Rd,0,5,5
70195,23-Jun-18,Illinois,Chicago,100 block of East 51st St,1,4,5
70201,20-Jun-18,California,Modesto,2300 block of West Hatch Road,0,5,5
70204,18-Jun-18,Illinois,Chicago,1300 block of S Loomis St,2,3,5
70206,17-Jun-18,New Jersey,Trenton,635 S Clinton Ave,1,19,20
70210,14-Jun-18,California,Union City,32992 Mission Blvd,0,5,5
70211,14-Jun-18,New York,Buffalo,Marigold Ave,1,4,5
70212,14-Jun-18,California,Tracy,West 6th Street,1,4,5
70216,11-Jun-18,Florida,Orlando,4932 Eaglesmere Dr,5,1,6
70218,10-Jun-18,California,Valley Village,12719 Tiara St,0,6,6
70219,10-Jun-18,Indiana,Indianapolis (Lawrence),4745 N Richardt Ave,1,4,5
70220,10-Jun-18,Illinois,Aurora,300 block of W Park Ave,0,7,7
70221,10-Jun-18,Florida,Bradenton,5627 14th St W,1,5,6
70222,10-Jun-18,Illinois,Chicago,6400 block of S Eberhart Ave,1,5,6
70225,9-Jun-18,Pennsylvania,Philadelphia,2000 block of 20th St,1,4,5
70227,3-Jun-18,Texas,Dallas,4500 Spring Ave,0,5,5
70229,2-Jun-18,Nebraska,Omaha,S 11th St and Farnam St,1,6,7
70230,2-Jun-18,New York,Buffalo,Strauss Street,0,5,5
70231,31-May-18,South Carolina,Timmonsville,544 Chaney Grove Rd,3,2,5
70236,20-May-18,Mississippi,Hazlehurst,513 Monticello St,1,7,8
70237,18-May-18,Texas,Santa Fe,16000 Hwy 6,10,13,23
70238,16-May-18,Texas,Ponder,610 Lone Star Park Ln,5,1,6
70241,13-May-18,California,Stockton,2436 Belleview St,3,2,5
70243,12-May-18,Nebraska,Omaha,3201 Decatur St,0,6,6
70246,11-May-18,Oklahoma,Talihina,2nd St and Dallas St,1,4,5
70249,7-May-18,California,San Diego,15th St and J St,0,5,5
70250,6-May-18,Tennessee,Memphis,499 North Watkins,2,4,6
70252,5-May-18,Georgia,Columbus,4944 Sentry Street,0,5,5
70255,2-May-18,Illinois,Chicago,3500 block of W Grenshaw St,1,4,5
70256,2-May-18,Minnesota,Minneapolis,2400 block of Ogema Place,0,5,5
70257,2-May-18,New York,Brooklyn,333 Bristol St,1,4,5
70258,1-May-18,Louisiana,New Orleans,3200 block of Saint Claude Ave,0,5,5
70265,28-Apr-18,North Carolina,Maxton,Modest Rd,0,5,5
70269,22-Apr-18,Tennessee,Antioch,3571 Murfreesboro Pike,4,3,7
70270,22-Apr-18,Louisiana,New Orleans,1900 block of St Roch Ave,1,5,6
70272,20-Apr-18,California,San Francisco,3rd Street and Quesada Ave,1,5,6
70273,18-Apr-18,North Carolina,Asheville,73 Hansel Ave,4,3,7
70274,15-Apr-18,Louisiana,Shreveport,6956 Jewella Ave,0,6,6
70282,1-Apr-18,Alabama,Mobile,3556 Halls Mill Rd,1,4,5
70283,1-Apr-18,Michigan,Saginaw,600 block of Yale St,0,5,5
70284,31-Mar-18,New Jersey,Asbury Park,Atlantic Ave and Monmouth Ave,0,5,5
70288,21-Mar-18,California,San Francisco,949 Geneva Ave,1,5,6
70289,17-Mar-18,Kentucky,Louisville,2928 W Kentucky St,0,7,7
70294,11-Mar-18,Indiana,South Bend,800 block of E Dayton St,0,6,6
70295,11-Mar-18,Michigan,Saginaw,Cumberland Ave and Hess St,1,4,5
70298,4-Mar-18,Illinois,Rockford,426 Howard Ave,1,4,5
70302,26-Feb-18,Michigan,Detroit,22700 Fenkell Ave,5,0,5
70304,18-Feb-18,Texas,San Antonio,2893 Cinema Ridge,0,5,5
70305,17-Feb-18,Kansas,Kansas City,1615 Minnesota,1,7,8
70306,17-Feb-18,Tennessee,Memphis,3188 N Watkins Ave,0,5,5
70308,14-Feb-18,Florida,Pompano Beach (Parkland),5901 Pine Island Rd,17,17,34
70309,13-Feb-18,Louisiana,New Orleans,5400 block of Andry St,2,3,5
70310,11-Feb-18,Michigan,Detroit,19432 Lamont St,4,3,7
70311,10-Feb-18,Kentucky,Paintsville,413 Mill St,5,0,5
70312,7-Feb-18,Florida,Lake Worth (Lantana),I-95 and Lantana Ave,3,3,6
70313,5-Feb-18,Colorado,Colorado Springs,4225 Galley Rd,2,4,6
70314,3-Feb-18,Ohio,Cleveland (Garfield Heights),11321 Broadway Ave,1,5,6
70316,28-Jan-18,Indiana,Indianapolis,1313 N Sherman Dr,2,3,5
70318,28-Jan-18,Pennsylvania,Melcroft,1301 Indian Creek Valley Rd,5,0,5
70320,27-Jan-18,California,Los Angeles,243 East 119th St,0,5,5
70322,23-Jan-18,Kentucky,Benton,416 High School Rd,2,14,16
70327,15-Jan-18,Florida,Alachua,14223 NW 156th Pl,0,5,5
70328,14-Jan-18,Alabama,Eutaw,809 Mesopotamia St,1,4,5
70330,12-Jan-18,Tennessee,Nashville,2614 Jenkins Ct,3,2,5
70332,7-Jan-18,Alabama,Union Springs,US-29,1,5,6
70334,5-Jan-18,Mississippi,Hattiesburg,6168 US 49,0,6,6
80001,2-Sep-19,Alabama,Elkmont,25019 Ridge Road,5,0,5
80005,1-Sep-19,Alabama,Valley,502 Boulevard,0,7,7
80007,31-Aug-19,Illinois,Chicago,7100 block of S Paulina St,2,3,5
80011,31-Aug-19,Texas,Odessa,8250 TX-191,8,23,31
80015,30-Aug-19,Alabama,Mobile,1621 Virginia St,0,6,6
80018,25-Aug-19,New Mexico,Hobbs,1700 block of East Bond St,3,4,7
80020,24-Aug-19,Maryland,Temple Hills (Camp Springs),6200 block of Maxwell Dr,0,7,7
80021,23-Aug-19,Texas,Houston,4900 block of Southwind St,3,2,5
80028,17-Aug-19,Texas,Houston,12500 block of Mylla St,0,6,6
80029,15-Aug-19,Pennsylvania,Philadelphia,5800 block of N 15th St,0,5,5
80030,15-Aug-19,Alabama,Montgomery,847 N University Dr,2,3,5
80031,14-Aug-19,Pennsylvania,Philadelphia,3716 N 15th St,0,6,6
80032,13-Aug-19,Washington,Tacoma,E 38th St and E Roosevelt Ave,2,3,5
80034,11-Aug-19,Illinois,Chicago,3500 block of W Lake St,0,6,6
80040,4-Aug-19,Illinois,Chicago,1800 S Kildare Ave,1,7,8
80042,4-Aug-19,Ohio,Dayton,419 E 5th St,10,17,27
80043,4-Aug-19,Illinois,Chicago,2900 block of W Roosevelt Rd,0,7,7
80044,3-Aug-19,Texas,El Paso,7101 Gateway Blvd,22,24,46
80045,2-Aug-19,Virginia,Suffolk,200 block of N Broad St,2,3,5
80046,30-Jul-19,Ohio,Columbus,1280 E Long St,0,5,5
80047,28-Jul-19,California,Gilroy,7050 Miller Ave,4,17,21
80048,28-Jul-19,Pennsylvania,Philadelphia,2600 block of Carroll St,1,5,6
80049,28-Jul-19,Wisconsin,Chippewa Falls (Lafayette),16964 54th Ave,6,2,8
80053,27-Jul-19,New York,Brooklyn,1555 Linden Blvd,1,11,12
80055,25-Jul-19,California,Canoga Park,21901 Roscoe Boulevard,4,2,6
80060,20-Jul-19,Illinois,Chicago,2401 N Lake Shore Dr,0,7,7
80066,13-Jul-19,Illinois,Chicago,7900 block of S Loomis Blvd,1,4,5
80067,13-Jul-19,Pennsylvania,Philadelphia,5433 Lansdowne Ave,0,7,7
80070,7-Jul-19,Michigan,Flint,Clio Rd and Myrtle St,0,6,6
80071,7-Jul-19,Missouri,Saint Louis,N Tucker Blvd and Convention Plaza,0,5,5
80076,6-Jul-19,Missouri,Saint Louis,1921 Chambers Rd,5,0,5
80077,5-Jul-19,Massachusetts,Boston,Maple St,0,6,6
80078,5-Jul-19,Illinois,Chicago,1600 block of E 67th St,0,5,5
80085,3-Jul-19,Texas,Katy,5507 Everhart Manor Ln,2,3,5
80089,30-Jun-19,California,Yucaipa,12700 block of California St,0,5,5
80091,30-Jun-19,New York,Bay Shore,Farragut Ave,0,6,6
80094,29-Jun-19,Illinois,Chicago,2400 block of W Jackson Blvd,0,5,5
80095,29-Jun-19,Louisiana,Baton Rouge,7132 Florida Blvd,0,7,7
80097,28-Jun-19,Connecticut,Hamden,937 Choate Ave,0,5,5
80098,28-Jun-19,Georgia,Atlanta,Ira St and Bass St SW,0,7,7
80100,28-Jun-19,Minnesota,Saint Paul,909 Desoto St,0,5,5
80101,27-Jun-19,Georgia,Atlanta,600 block of Parkway Dr,0,7,7
80104,23-Jun-19,California,San Jose,568 Habbitts Court,5,0,5
80105,23-Jun-19,Indiana,South Bend,1150 E Mishawaka Ave,1,10,11
80106,23-Jun-19,Ohio,Columbus,1767 Genessee Ave,0,5,5
80111,22-Jun-19,Maryland,Baltimore,800 block of N Port St,1,4,5
80114,21-Jun-19,California,Santa Maria,519  West Taylor St,5,0,5
80115,21-Jun-19,California,Richmond,700 block of 14th St,0,5,5
80116,20-Jun-19,Pennsylvania,Allentown,343 Hamilton St,0,10,10
80117,18-Jun-19,New Jersey,Newark,700 block of Dr Martin Luther King Jr Blvd,1,4,5
80119,17-Jun-19,Tennessee,Memphis,2872 Coach Dr,0,5,5
80120,16-Jun-19,Pennsylvania,Philadelphia,2910 S 70th St,1,5,6
80121,16-Jun-19,Kentucky,Louisville,Dixie Highway and Ormsby Ave,1,6,7
80122,16-Jun-19,Iowa,Des Moines,1200 block of Sampson St,0,6,6
80130,8-Jun-19,Washington,White Swan,5151 Medicine Valley Rd,5,2,7
80132,7-Jun-19,Texas,Austin,8220 TX-71,0,5,5
80135,1-Jun-19,South Carolina,Allendale,473 Main St S,0,5,5
80139,1-Jun-19,Georgia,Atlanta,12 Broad Street,0,5,5
80140,1-Jun-19,Georgia,Macon,Suzanne Dr and Robinson Dr,2,4,6
80142,31-May-19,Virginia,Virginia Beach,2405 Courthouse Drive,13,4,17
80143,30-May-19,Illinois,Robbins,14000 block of Grace Ave,0,5,5
80144,29-May-19,Texas,Cleveland,26311 TX-321,3,2,5
80147,27-May-19,District of Columbia,Washington,1200 block of Sumner Rd SE,0,5,5
80148,27-May-19,New Jersey,Trenton,100 block of Walnut St,1,5,6
80150,26-May-19,Virginia,La Crosse,800 block of Alvis Road,0,5,5
80152,25-May-19,New Jersey,Trenton,225 Brunswick Ave,0,9,9
80153,25-May-19,Michigan,Detroit,3400 block of Devonshire,3,2,5
80154,25-May-19,Virginia,Chesapeake,Holly Cove Dr and Schooner Trail,1,9,10
80156,25-May-19,Oklahoma,Oklahoma City,N Kelley Ave and NE 26th St,0,5,5
80158,20-May-19,Louisiana,Alexandria,1900 block of Bacon Street,1,4,5
80160,19-May-19,Oregon,Portland,226 SE Madison St,0,5,5
80161,18-May-19,Mississippi,Cascilla,700 Leverette Ln,1,4,5
80162,18-May-19,Alabama,Atmore,100 Martin Luther King Avenue,1,8,9
80163,18-May-19,Indiana,Muncie,2410 W. Euclid Ave,1,6,7
80164,18-May-19,California,Long Beach,1616 West Pacific Coast Highway,1,4,5
80167,18-May-19,North Carolina,Winston Salem (Winston-salem),4252 Cody Drive,2,4,6
80173,13-May-19,Missouri,Saint Louis,4047 Shreve Ave,4,1,5
80175,10-May-19,Pennsylvania,Philadelphia,1900 block of N Croskey St,0,5,5
80176,10-May-19,Missouri,Saint Louis,4000 block of Ashland Ave,0,6,6
80178,7-May-19,Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,9
80179,5-May-19,New Jersey,North Bergen,2033 45th Street,1,4,5
80180,5-May-19,California,Oceano,1001 Cabrillo Hwy,0,6,6
80181,4-May-19,Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,5
80183,4-May-19,California,Stockton,5105 Holiday Dr,1,4,5
80186,3-May-19,Maryland,Baltimore,1900 block of Ramsay St,0,5,5
80189,30-Apr-19,North Carolina,Charlotte,9214 South Library Ln,2,4,6
80190,28-Apr-19,Tennessee,Nashville,1407 Dr DB Todd Jr Blvd,0,7,7
80192,28-Apr-19,Maryland,Baltimore,2544 Edmondson Ave,1,7,8
80196,27-Apr-19,California,Los Angeles,700 N San Fernando Rd,0,6,6
80198,20-Apr-19,Tennessee,Memphis,761 Chestnut Ave,0,5,5
80209,11-Apr-19,Arizona,Phoenix,7112 W Minnezona Ave,3,2,5
80210,11-Apr-19,California,Los Angeles,E 103rd St and S Main St,1,4,5
80213,7-Apr-19,North Carolina,Winston Salem (Winston-salem),515 N Cherry St,0,7,7
80214,7-Apr-19,Delaware,Wilmington,940 N Pine St,0,6,6
80217,6-Apr-19,Illinois,Chicago,6300 block of S Seeley Ave,0,6,6
80219,4-Apr-19,Georgia,Stockbridge,300 block of Eagle Ct,3,2,5
80221,2-Apr-19,Kentucky,Covington,300 block of 13th St,0,5,5
80222,31-Mar-19,Illinois,Chicago,500 block of N Hamlin Ave,1,4,5
80223,31-Mar-19,Georgia,Atlanta,3041 Landrum Dr SW,1,4,5
80224,31-Mar-19,South Carolina,North Charleston,1900 block of Jacksonville Rd,0,7,7
80226,25-Mar-19,Nevada,North Las Vegas,2400 block of W San Miguel St,0,5,5
80227,24-Mar-19,California,San Francisco,1300 Fillmore St,1,5,6
80228,24-Mar-19,Arizona,Phoenix,2202 W McDowell Rd,0,7,7
80229,19-Mar-19,Arizona,Phoenix,8526 N 27th Ave,2,4,6
80234,15-Mar-19,Alabama,Mobile,515 Dauphin Island Pkwy,2,4,6
80238,10-Mar-19,Colorado,Denver,15th St and Market St,1,4,5
80240,3-Mar-19,Illinois,Chicago,2900 block of E 79th St,0,6,6
80241,2-Mar-19,Arkansas,Pine Bluff,723 East 25th Ave,1,4,5
80244,21-Feb-19,Maryland,Baltimore,500 block of Bloom St,1,4,5
80249,17-Feb-19,Indiana,Evansville,664 E Illinois St,0,5,5
80250,17-Feb-19,Louisiana,New Orleans,Tulane Ave and Elk Pl,1,5,6
80251,16-Feb-19,Mississippi,Clinton,1214 Foxhill Dr,5,0,5
80252,15-Feb-19,Illinois,Aurora,641 Archer Ave,6,6,12
80253,11-Feb-19,Texas,Livingston,3628 FM 3126,5,0,5
80257,4-Feb-19,District of Columbia,Washington,2341 Pennsylvania Ave SE,0,5,5
80260,3-Feb-19,Illinois,Chicago,938 E 75th St,2,5,7
80262,28-Jan-19,Texas,Houston,7815 Harding St,2,5,7
80263,27-Jan-19,Alabama,Birmingham,Avenue O and Warrior Rd,0,5,5
80265,26-Jan-19,Indiana,Indianapolis,2957 N Sherman Dr,0,5,5
80267,26-Jan-19,Louisiana,Gonzales,42350 Church Point Rd,5,0,5
80268,24-Jan-19,Pennsylvania,State College,1450 S Atherton St,4,1,5
80269,24-Jan-19,Georgia,Rockmart,319 Williamson St,4,1,5
80270,23-Jan-19,Florida,Sebring,1901 US 27 S,5,0,5
80273,19-Jan-19,Texas,Houston,7041 Sherman St,3,2,5
80274,19-Jan-19,South Carolina,Gaffney,1435 Wilcox Ave,1,4,5
80276,19-Jan-19,Florida,Jacksonville,11445 Brian Lakes Drive,3,2,5
80278,16-Jan-19,Florida,Jacksonville,Emerson St and Spring Park Rd,1,5,6
80280,15-Jan-19,Arkansas,Little Rock,5420 Baseline Rd,1,4,5
80281,13-Jan-19,Arizona,Phoenix,2445 E Van Buren St,1,5,6
80283,4-Jan-19,Virginia,Hurt,3197 Shula Dr,3,2,5
