Month,Relative Value
2014-01,25
2014-02,18
2014-03,18
2014-04,24
2014-05,25
2014-06,24
2014-07,18
2014-08,26
2014-09,19
2014-10,23
2014-11,25
2014-12,23
2015-01,22
2015-02,19
2015-03,20
2015-04,23
2015-05,23
2015-06,32
2015-07,30
2015-08,41
2015-09,23
2015-10,38
2015-11,28
2015-12,50
2016-01,22
2016-02,24
2016-03,22
2016-04,22
2016-05,22
2016-06,74
2016-07,67
2016-08,23
2016-09,38
2016-10,22
2016-11,27
2016-12,22
2017-01,32
2017-02,22
2017-03,22
2017-04,29
2017-05,22
2017-06,32
2017-07,22
2017-08,19
2017-09,22
2017-10,100
2017-11,50
2017-12,24
2018-01,26
2018-02,83
2018-03,40
2018-04,36
2018-05,44
2018-06,27
2018-07,25
2018-08,32
2018-09,27
2018-10,34
2018-11,41
2018-12,22
2019-01,25
2019-02,26
2019-03,31
2019-04,25
2019-05,32
2019-06,31
2019-07,26